"ID","PURPOSE","AGE","GENDER","INCOME","GA","AV.TRAIN","AV.SM","AV.CAR","TT.TRAIN","TT.SM","TT.CAR","CO.TRAIN","CO.SM","CO.CAR","CHOICE","Pur2_D1","Pur3_D2","Pur4_D3","Pur5_D4","Age2_D5","Age3_D6","Age4_D7","Age5_D8","Gen1_D9","Inc2_D10","Inc3_D10","Inc4_D10","q1a","q1b","q1c","q1d","q2a","q2b","q2c","q2d","Pro_Car","Env_Con"
1,"1","3","0","2",0,1,1,1,1.12,0.63,1.17,0.48,0.52,0.65,"SM",0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,4,4,4,3,-0.988382634759184,0.124602299102529
1,"1","3","0","2",0,1,1,1,1.03,0.6,1.17,0.48,0.49,0.84,"SM",0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,4,4,4,3,-0.988382634759184,0.124602299102529
1,"1","3","0","2",0,1,1,1,1.3,0.67,1.17,0.48,0.58,0.52,"SM",0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,4,4,4,3,-0.988382634759184,0.124602299102529
1,"1","3","0","2",0,1,1,1,1.03,0.63,0.72,0.4,0.52,0.52,"SM",0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,4,4,4,3,-0.988382634759184,0.124602299102529
1,"1","3","0","2",0,1,1,1,1.3,0.63,0.9,0.36,0.42,0.84,"SM",0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,4,4,4,3,-0.988382634759184,0.124602299102529
1,"1","3","0","2",0,1,1,1,1.12,0.6,0.9,0.36,0.49,0.52,"SM",0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,4,4,4,3,-0.988382634759184,0.124602299102529
1,"1","3","0","2",0,1,1,1,1.03,0.67,0.72,0.48,0.58,0.65,"SM",0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,4,4,4,3,-0.988382634759184,0.124602299102529
1,"1","3","0","2",0,1,1,1,1.03,0.67,0.9,0.36,0.43,0.65,"TRAIN",0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,4,4,4,3,-0.988382634759184,0.124602299102529
1,"1","3","0","2",0,1,1,1,1.3,0.6,0.72,0.4,0.46,0.65,"SM",0,0,0,0,0,1,0,0,0,1,0,0,1,2,1,4,4,4,4,3,-0.988382634759184,0.124602299102529
2,"1","2","0","1",0,1,1,0,1.84,0.76,0,0.62,0.7,0,"SM",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,4,5,4,1,-1.27048705653244,0.693595436114514
2,"1","2","0","1",0,1,1,0,1.7,0.7,0,0.62,0.66,0,"SM",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,4,5,4,1,-1.27048705653244,0.693595436114514
2,"1","2","0","1",0,1,1,0,2.13,0.84,0,0.62,0.82,0,"SM",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,4,5,4,1,-1.27048705653244,0.693595436114514
2,"1","2","0","1",0,1,1,0,1.7,0.76,0,0.52,0.72,0,"SM",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,4,5,4,1,-1.27048705653244,0.693595436114514
2,"1","2","0","1",0,1,1,0,2.13,0.76,0,0.47,0.53,0,"SM",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,4,5,4,1,-1.27048705653244,0.693595436114514
2,"1","2","0","1",0,1,1,0,1.84,0.7,0,0.47,0.66,0,"SM",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,4,5,4,1,-1.27048705653244,0.693595436114514
2,"1","2","0","1",0,1,1,0,1.7,0.84,0,0.62,0.82,0,"SM",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,4,5,4,1,-1.27048705653244,0.693595436114514
2,"1","2","0","1",0,1,1,0,1.7,0.84,0,0.47,0.57,0,"SM",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,4,5,4,1,-1.27048705653244,0.693595436114514
2,"1","2","0","1",0,1,1,0,2.13,0.7,0,0.52,0.62,0,"SM",0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,4,5,4,1,-1.27048705653244,0.693595436114514
3,"1","2","1","2",0,1,1,1,0.58,0.29,1.05,0.32,0.35,0.4,"SM",0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,5,5,4,4,3,-0.808620852761618,0.359842038545712
3,"1","2","1","2",0,1,1,1,0.58,0.25,1.36,0.29,0.38,0.5,"SM",0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,5,5,4,4,3,-0.808620852761618,0.359842038545712
3,"1","2","1","2",0,1,1,1,0.58,0.27,1.36,0.32,0.4,0.65,"SM",0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,5,5,4,4,3,-0.808620852761618,0.359842038545712
3,"1","2","1","2",0,1,1,1,0.47,0.25,0.84,0.29,0.38,0.65,"SM",0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,5,5,4,4,3,-0.808620852761618,0.359842038545712
3,"1","2","1","2",0,1,1,1,0.51,0.25,1.36,0.32,0.36,0.4,"SM",0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,5,5,4,4,3,-0.808620852761618,0.359842038545712
3,"1","2","1","2",0,1,1,1,0.51,0.25,0.84,0.38,0.42,0.4,"SM",0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,5,5,4,4,3,-0.808620852761618,0.359842038545712
3,"1","2","1","2",0,1,1,1,0.51,0.27,0.84,0.29,0.32,0.5,"SM",0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,5,5,4,4,3,-0.808620852761618,0.359842038545712
3,"1","2","1","2",0,1,1,1,0.51,0.27,1.05,0.32,0.4,0.5,"SM",0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,5,5,4,4,3,-0.808620852761618,0.359842038545712
3,"1","2","1","2",0,1,1,1,0.58,0.27,0.84,0.38,0.42,0.65,"SM",0,0,0,0,1,0,0,0,1,1,0,0,2,2,1,5,5,4,4,3,-0.808620852761618,0.359842038545712
4,"1","2","1","3",0,1,1,1,1.38,0.65,1.35,0.4,0.45,0.8,"SM",0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,3,4,4,5,1,-0.585684353568381,0.716603009635592
4,"1","2","1","3",0,1,1,1,1.38,0.61,1.75,0.4,0.52,1.3,"SM",0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,3,4,4,5,1,-0.585684353568381,0.716603009635592
4,"1","2","1","3",0,1,1,1,1.38,0.58,1.75,0.36,0.49,1,"SM",0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,3,4,4,5,1,-0.585684353568381,0.716603009635592
4,"1","2","1","3",0,1,1,1,1.05,0.58,1.08,0.36,0.49,1.3,"SM",0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,3,4,4,5,1,-0.585684353568381,0.716603009635592
4,"1","2","1","3",0,1,1,1,1.16,0.58,1.75,0.4,0.46,0.8,"SM",0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,3,4,4,5,1,-0.585684353568381,0.716603009635592
4,"1","2","1","3",0,1,1,1,1.16,0.61,1.08,0.36,0.42,1,"SM",0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,3,4,4,5,1,-0.585684353568381,0.716603009635592
4,"1","2","1","3",0,1,1,1,1.16,0.58,1.08,0.48,0.5,0.8,"SM",0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,3,4,4,5,1,-0.585684353568381,0.716603009635592
4,"1","2","1","3",0,1,1,1,1.38,0.61,1.08,0.48,0.52,1.3,"SM",0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,3,4,4,5,1,-0.585684353568381,0.716603009635592
4,"1","2","1","3",0,1,1,1,1.16,0.61,1.35,0.4,0.52,1,"SM",0,0,0,0,1,0,0,0,1,0,1,0,2,2,1,3,4,4,5,1,-0.585684353568381,0.716603009635592
5,"1","2","1","3",0,1,1,0,2.69,2.16,0,0.7,0.72,0,"SM",0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,4,4,4,5,3,-1.27048705653244,0.39089496526292
5,"1","2","1","3",0,1,1,0,2.43,2.13,0,0.7,0.7,0,"SM",0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,4,4,4,5,3,-1.27048705653244,0.39089496526292
5,"1","2","1","3",0,1,1,0,3.2,2.2,0,0.7,0.74,0,"SM",0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,4,4,4,5,3,-1.27048705653244,0.39089496526292
5,"1","2","1","3",0,1,1,0,2.43,2.16,0,0.58,0.66,0,"SM",0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,4,4,4,5,3,-1.27048705653244,0.39089496526292
5,"1","2","1","3",0,1,1,0,3.2,2.16,0,0.52,0.57,0,"SM",0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,4,4,4,5,3,-1.27048705653244,0.39089496526292
5,"1","2","1","3",0,1,1,0,2.69,2.13,0,0.52,0.62,0,"SM",0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,4,4,4,5,3,-1.27048705653244,0.39089496526292
5,"1","2","1","3",0,1,1,0,2.43,2.2,0,0.7,0.74,0,"SM",0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,4,4,4,5,3,-1.27048705653244,0.39089496526292
5,"1","2","1","3",0,1,1,0,2.43,2.2,0,0.52,0.57,0,"SM",0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,4,4,4,5,3,-1.27048705653244,0.39089496526292
5,"1","2","1","3",0,1,1,0,3.2,2.13,0,0.58,0.64,0,"SM",0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,4,4,4,5,3,-1.27048705653244,0.39089496526292
6,"1","3","0","3",0,1,1,1,1.16,0.46,0.7,0.35,0.38,0.35,"SM",0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,5,5,4,3,-1.08286012006119,0.603127131185026
6,"1","3","0","3",0,1,1,1,0.95,0.49,0.91,0.26,0.29,0.28,"SM",0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,5,5,4,3,-1.08286012006119,0.603127131185026
6,"1","3","0","3",0,1,1,1,1.16,0.53,0.56,0.26,0.32,0.28,"SM",0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,5,5,4,3,-1.08286012006119,0.603127131185026
6,"1","3","0","3",0,1,1,1,1.02,0.53,0.91,0.26,0.32,0.45,"SM",0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,5,5,4,3,-1.08286012006119,0.603127131185026
6,"1","3","0","3",0,1,1,1,1.02,0.53,0.56,0.29,0.32,0.45,"SM",0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,5,5,4,3,-1.08286012006119,0.603127131185026
6,"1","3","0","3",0,1,1,1,0.95,0.53,0.91,0.29,0.32,0.35,"SM",0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,5,5,4,3,-1.08286012006119,0.603127131185026
6,"1","3","0","3",0,1,1,1,0.95,0.49,0.7,0.35,0.4,0.28,"SM",0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,5,5,4,3,-1.08286012006119,0.603127131185026
6,"1","3","0","3",0,1,1,1,0.95,0.46,0.7,0.29,0.35,0.45,"SM",0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,5,5,4,3,-1.08286012006119,0.603127131185026
6,"1","3","0","3",0,1,1,1,1.02,0.53,0.7,0.35,0.46,0.45,"SM",0,0,0,0,0,1,0,0,0,0,1,0,1,1,2,5,5,5,4,3,-1.08286012006119,0.603127131185026
7,"1","3","1","1",0,1,1,1,0.87,0.32,1.17,0.42,0.49,1.4,"SM",0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,5,5,5,5,3,-1.09072527453487,0.869419797345417
